DUPLICATE,HAWB,OVERDUE,SUM,VER,RELEASED,ALL CLEAR,LAST IMPORTED,FIRST IMPORTED,FS DEVAN,OF LOCATION,OF DEVAN,OF PIECE COUNT,PIECE COUNT DIFF,FS LOCATION,FS PIECE COUNT,FS PRIMARY LOCATION,CLIENT NAME,RELEASE DATE,CONSIGNEE
False,93C962676,False,True,True,False,False,2021-02-26 08:57:07,2021-02-26 08:57:07,N.A.,1342C,11/7/20,32,-32,N.A.,0,N.A.,N.A.,0,0
False,622493769,True,True,False,True,False,2021-03-05 00:20:41,2021-02-26 08:57:07,2021-01-09 15:50:00,1330-d/c,1/9/2021,390,-312,"R12,1330CD,1331D,3 (78)",78,1330CD,EXPEDITORS INT'L - IMPORT DEPT.,2021-02-19 00:00:00,"OLD NAVY, LLC"
False,3591,True,True,False,True,False,2021-03-05 00:20:43,2021-02-26 08:57:08,2015-01-29 18:40:00,1333d,12/29/2021,144,-120,"R12,1336D,,1 (24)",24,1303A,EXPEDITORS INT'L - AIR IMPORT,2016-11-25 00:00:00,SENSATA
False,3769,False,True,True,False,False,2021-02-26 08:57:08,2021-02-26 08:57:08,N.A.,1331D,9-Jan,34,-34,N.A.,0,N.A.,N.A.,0,0
False,3769,False,True,True,False,False,2021-02-26 08:57:08,2021-02-26 08:57:08,N.A.,1330D,9-Jan,35,-35,N.A.,0,N.A.,N.A.,0,0
False,416582154,False,False,False,True,False,2021-02-26 08:57:08,2021-02-26 08:57:08,2021-01-30 23:31:00,1324C,30-Jan,2,0,"R12,1324C,, (2)",2,1324C,EXPEDITORS INT'L - AIR IMPORT,2021-02-05 00:00:00,COMMSCOPE CONNECTIVI
False,3592,True,True,False,True,False,2021-03-05 00:20:45,2021-02-26 08:57:08,2015-08-03 18:00:00,1313d,12/29/2021,144,-120,"R12,1257A,, (39)",24,1231A,EXPEDITORS INT'L - AIR IMPORT,2015-09-05 00:00:00,"OLD NAVY, LLC"
False,4831218458,False,False,False,True,False,2021-02-26 08:57:08,2021-02-26 08:57:08,2021-02-01 11:36:00,1310D,1-Feb,4,0,"R12,1310D,,1 (4)",4,1310D,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,THE GAP INC.
False,7107,False,True,True,False,False,2021-02-26 08:57:08,2021-02-26 08:57:08,N.A.,1301D,21-Jan,55,-55,N.A.,0,N.A.,N.A.,0,0
False,7107,False,True,True,False,False,2021-02-26 08:57:08,2021-02-26 08:57:08,N.A.,1300D,21-Jan,56,-56,N.A.,0,N.A.,N.A.,0,0
False,417768127,False,False,False,True,False,2021-02-26 08:57:08,2021-02-26 08:57:08,2021-01-22 06:30:00,1298C,22-Jan,19,0,"R12,1298C,,1 (19)",19,1298C,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,THE GAP INC.
False,45G0034561,False,True,False,True,False,2021-02-26 08:57:08,2021-02-26 08:57:08,2021-02-01 19:50:00,1291C,1-Feb,20,380,"R12,1291AC,1284B, (400)",400,1291AC,EXPEDITORS INT'L - AIR IMPORT,2021-02-08 00:00:00,"HP, INC."
False,43Z1139698,False,False,False,True,False,2021-02-26 08:57:09,2021-02-26 08:57:09,2021-02-01 21:30:00,1279D,1-Feb,6,0,"R12,1229D,,1 (6)",6,1229D,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,THE GAP INC.
False,3614,True,True,False,True,False,2021-03-05 00:20:57,2021-02-26 08:57:09,2020-01-24 23:00:00,1278-f,1/13/2021,245,-242,"R12,1264B,,1 (3)",3,1278F,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,K-C AFC MANUFACTURIN
False,4812299614,False,False,False,True,False,2021-02-26 08:57:09,2021-02-26 08:57:09,2021-01-31 12:00:00,1274D,31-Jan,24,0,"R12,1274D,,1 (24)",24,1274D,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,OSI OPTOELECTRONICS
False,42H0055149,False,False,False,True,False,2021-02-26 08:57:09,2021-02-26 08:57:09,2021-01-18 23:55:00,1272D,18-Jan,17,0,"R12,1272D,,1 (17)",17,1272D,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,OLD NAVY LLC
False,42H0055148,False,False,False,True,False,2021-02-26 08:57:09,2021-02-26 08:57:09,2021-01-18 23:55:00,1271D,18-Jan,18,0,"R12,1271D,,1 (18)",18,1271D,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,OLD NAVY LLC
False,41C0007006,False,False,False,True,False,2021-02-26 08:57:09,2021-02-26 08:57:09,2021-01-02 08:00:00,1268,24-Jan,16,0,"R12,1268E,,1 (16)",16,1268E,EXPEDITORS INT'L - AIR IMPORT,2021-02-25 00:00:00,THE GAP INC.
False,412131656+0006,False,True,True,False,False,2021-02-26 08:57:09,2021-02-26 08:57:09,N.A.,1269C,7-Jan,10,-10,N.A.,0,N.A.,N.A.,0,0
False,4711539188,False,False,False,True,False,2021-02-26 08:57:09,2021-02-26 08:57:09,2021-02-01 02:35:00,1263C,1-Feb,17,0,"R12,1263C,, (17)",17,1263C,EXPEDITORS INT'L - AIR IMPORT,2021-02-09 00:00:00,MOTION SOLUTIONS
False,4913920358,False,True,False,True,False,2021-02-26 08:57:10,2021-02-26 08:57:10,2021-01-20 17:10:00,1260C,20-Jan,20,29,"R12,1260CD,,2 (49)",49,1260CD,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
False,4913920358,False,True,False,True,False,2021-02-26 08:57:10,2021-02-26 08:57:10,2021-01-20 17:10:00,1260D,20-Jan,29,20,"R12,1260CD,,2 (49)",49,1260CD,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
False,4913927950,False,True,False,True,False,2021-02-26 08:57:10,2021-02-26 08:57:10,2021-01-31 23:30:00,1259C,31-Jan,19,365,"R16,216AD,217D,8 (384)",384,216AD,EXPEDITORS INT'L - AIR IMPORT,2021-02-02 00:00:00,CISCO SYSTEMS INC.
False,43Z1140512+0151,False,True,True,False,False,2021-02-26 08:57:10,2021-02-26 08:57:10,N.A.,1258D,1-Feb,11,-11,N.A.,0,N.A.,N.A.,0,0
False,43Z1140512+0219,False,True,True,False,False,2021-02-26 08:57:10,2021-02-26 08:57:10,N.A.,1257D,1-Feb,25,-25,N.A.,0,N.A.,N.A.,0,0
False,43Z1140512+0225,False,True,True,False,False,2021-02-26 08:57:10,2021-02-26 08:57:10,N.A.,1256D,1-Feb,25,-25,N.A.,0,N.A.,N.A.,0,0
